scenario_key;analysis_key;resume_key;status;overall_score;task_quality;task_seniority;task_target_fit;task_matching;seniority_final_label;seniority_label_source;seniority_text_confidence;target_fit_provider;target_fit_embedding_score;target_fit_signals_score;target_fit_final_score;debug_quality_score;debug_seniority_general_score;debug_target_fit_score;debug_matching_score;debug_overall_mode;debug_overall_formula
empty;4710dab2506ebcbd713fe741a7194d8e;20634abe36866f2d22bbb73e675ecbaa;done;36;30;75;;;mid;fused;low;;;;;30;75;;;blend;0.87*quality + 0.13*seniority_score
junior;beffd107b03751a30accde29a682835b;44940ed87d19a536a720846834c9b168;done;43;40;50;55;;junior;fused;low;target_fit_embedding_v1;68;30;55;40;50;55;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
mid;f2d200039553b59159547ff7363bc89e;78b7b43b8c6b67c65c6bf59a9c70dab3;done;51;54;50;31;;junior;fused;low;target_fit_embedding_v1;26;40;31;54;50;31;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
senior_explicit;b2c4a42a380116501cd5ea83645e4722;9e124249b03b6a2e7a94745aded7d3b1;done;68;68;75;60;;mid;fused;low;target_fit_embedding_v1;67;46;60;68;75;60;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
migration_no_evidence;9bfbf82479994be56afa47be2a16e7f4;7ce2a4f3469ba56b488deec6975d69f4;done;38;35;75;12;;mid;fused;low;target_fit_embedding_v1;3;30;12;35;75;12;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
migration_with_evidence;8b0cd0816919e7cdff9e2645c9f18acd;ea2b77e710fac510d28109f822f8baf5;done;41;39;75;16;;mid;fused;low;target_fit_embedding_v1;5;36;16;39;75;16;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
aligned_high_tech;4ffd5e50ac8e9f6a8f4453401a053d76;f7d6390c72c82f3f102f0bdb790c712e;done;71;74;75;46;;mid;fused;low;target_fit_embedding_v1;49;40;46;74;75;46;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
no_target_position;f68dacfba017bd05ec781fee14a4a4f8;385a976e99646f8f2ccbc0c803c73518;done;59;56;75;;;mid;fused;low;;;;;56;75;;;blend;0.87*quality + 0.13*seniority_score
many_skills_little_exp;bc51ee9a1c7b9b7c683eb133acfa9703;71939b2b054833a97bb78a9928e456bb;done;54;55;75;19;;mid;fused;low;target_fit_embedding_v1;14;27;19;55;75;19;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
much_exp_few_skills;afcfacd94614758c1f270e6fdc5541fe;c3da2cce46523c8cc9e6525a27c38f1e;done;51;47;75;54;;mid;fused;low;target_fit_embedding_v1;63;36;54;47;75;54;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
target_with_short_job;15ab4aa5a88272258c671636229a31ba;a9c02ad8fe9d7db3ae02a1693ac382d2;done;67;64;75;82;57;mid;fused;low;target_fit_embedding_v1;100;50;82;64;75;82;57;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
summary_en;2f47bb6607f17bcd3c6032b48f768263;bfd9f7d75040742df0f0050222d99daa;done;71;70;75;71;;mid;fused;low;target_fit_embedding_v1;91;34;71;70;75;71;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
intern_like;c25f486158c6c655bb40edc0ded598c0;3fd062df074f86c98c708fe631c67abd;done;56;59;75;11;;mid;fused;low;target_fit_embedding_v1;0;31;11;59;75;11;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
career_switch_marketing_dev;7235c177bc64cbdbbb609334b68cf46d;5c4495b7cb13b1086608310a821e1de9;done;63;67;75;14;;mid;fused;low;target_fit_embedding_v1;6;29;14;67;75;14;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
data_aligned;f6876b8a73d4a5a76326e347f328865e;3ab52c526da6d2c084c76cddbf17db13;done;66;69;75;27;;mid;fused;low;target_fit_embedding_v1;21;38;27;69;75;27;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
senior_sparse_structured;317f37547a1b3dc3482357debd8e42a4;b0d371ca53d4bcc03eef86acd952d08f;done;54;51;75;57;;mid;fused;low;target_fit_embedding_v1;69;34;57;51;75;57;;blend;0.78*quality + 0.12*seniority + 0.10*target_fit
